,Binario
1920,0.9456603046006402
1921,0.9940302114769565
1922,0.9940302114769565
1923,0.9940302114769565
1924,0.9940302114769565
1925,0.9940302114769565
1926,0.9940302114769565
1927,0.9456603046006402
1928,0.9940302114769565
1929,0.9940302114769565
1930,0.9940302114769565
1931,0.9456603046006402
1932,0.9940302114769565
1933,0.9456603046006402
1934,0.9456603046006402
1935,0.8453509366224365
1936,0.9940302114769565
1937,0.9940302114769565
1938,0.9940302114769565
1939,0.9456603046006402
1940,0.9940302114769565
1941,0.9456603046006402
1942,0.9456603046006402
1943,0.8453509366224365
1944,0.9940302114769565
1945,0.9456603046006402
1946,0.9456603046006402
1947,0.8453509366224365
1948,0.9456603046006402
1949,0.8453509366224365
1950,0.8453509366224365
1951,0.6840384356390417
1952,0.9940302114769565
1953,0.9940302114769565
1954,0.9940302114769565
1955,0.9456603046006402
1956,0.9940302114769565
1957,0.9456603046006402
1958,0.9456603046006402
1959,0.8453509366224365
1960,0.9940302114769565
1961,0.9456603046006402
1962,0.9456603046006402
1963,0.8453509366224365
1964,0.9456603046006402
1965,0.8453509366224365
1966,0.8453509366224365
1967,0.6840384356390417
1968,0.9940302114769565
1969,0.9456603046006402
1970,0.9456603046006402
1971,0.8453509366224365
1972,0.9456603046006402
1973,0.8453509366224365
1974,0.8453509366224365
1975,0.6840384356390417
1976,0.9456603046006402
1977,0.8453509366224365
1978,0.8453509366224365
1979,0.6840384356390417
1980,0.8453509366224365
1981,0.6840384356390417
1982,0.6840384356390417
1983,0.4394969869215134
1984,0.9940302114769565
1985,0.9940302114769565
1986,0.9940302114769565
1987,0.9456603046006402
1988,0.9940302114769565
1989,0.9456603046006402
1990,0.9456603046006402
1991,0.8453509366224365
1992,0.9940302114769565
1993,0.9456603046006402
1994,0.9456603046006402
1995,0.8453509366224365
1996,0.9456603046006402
1997,0.8453509366224365
1998,0.8453509366224365
1999,0.6840384356390417
2000,0.954434002924965
2001,0.9886994082884974
2002,0.9886994082884974
2003,1.0
2004,0.9886994082884974
2005,1.0
2006,1.0
2007,0.9886994082884974
2008,0.9886994082884974
2009,1.0
2010,1.0
2011,0.9886994082884974
2012,1.0
2013,0.9886994082884974
2014,0.9886994082884974
2015,0.954434002924965
2016,0.954434002924965
2017,0.9886994082884974
2018,0.9886994082884974
2019,1.0
2020,0.9886994082884974
2021,1.0
2022,1.0
2023,0.9886994082884974
2024,0.9886994082884974
2025,1.0
2026,1.0
2027,0.9886994082884974
2028,1.0
2029,0.9886994082884974
2030,0.9886994082884974
2031,0.954434002924965
2032,0.9886994082884974
2033,1.0
2034,1.0
2035,0.9886994082884974
2036,1.0
2037,0.9886994082884974
2038,0.9886994082884974
2039,0.954434002924965
2040,1.0
2041,0.9886994082884974
2042,0.9886994082884974
2043,0.954434002924965
2044,0.9886994082884974
2045,0.954434002924965
2046,0.954434002924965
2047,0.8960382325345575
2048,0.3372900666170139
2049,0.5435644431995964
2050,0.5435644431995964
2051,0.6962122601251458
2052,0.5435644431995964
2053,0.6962122601251458
2054,0.6962122601251458
2055,0.8112781244591328
2056,0.5435644431995964
2057,0.6962122601251458
2058,0.6962122601251458
2059,0.8112781244591328
2060,0.6962122601251458
2061,0.8112781244591328
2062,0.8112781244591328
2063,0.8960382325345575
2064,0.5435644431995964
2065,0.6962122601251458
2066,0.6962122601251458
2067,0.8112781244591328
2068,0.6962122601251458
2069,0.8112781244591328
2070,0.8112781244591328
2071,0.8960382325345575
2072,0.6962122601251458
2073,0.8112781244591328
2074,0.8112781244591328
2075,0.8960382325345575
2076,0.8112781244591328
2077,0.8960382325345575
2078,0.8960382325345575
2079,0.954434002924965
2080,0.5435644431995964
2081,0.6962122601251458
2082,0.6962122601251458
2083,0.8112781244591328
2084,0.6962122601251458
2085,0.8112781244591328
2086,0.8112781244591328
2087,0.8960382325345575
2088,0.6962122601251458
2089,0.8112781244591328
2090,0.8112781244591328
2091,0.8960382325345575
2092,0.8112781244591328
2093,0.8960382325345575
2094,0.8960382325345575
2095,0.954434002924965
2096,0.6962122601251458
2097,0.8112781244591328
2098,0.8112781244591328
2099,0.8960382325345575
2100,0.8112781244591328
2101,0.8960382325345575
2102,0.8960382325345575
2103,0.954434002924965
2104,0.8112781244591328
2105,0.8960382325345575
2106,0.8960382325345575
2107,0.954434002924965
2108,0.8960382325345575
2109,0.954434002924965
2110,0.954434002924965
2111,0.9886994082884974
2112,0.5435644431995964
2113,0.6962122601251458
2114,0.6962122601251458
2115,0.8112781244591328
2116,0.6962122601251458
2117,0.8112781244591328
2118,0.8112781244591328
2119,0.8960382325345575
2120,0.6962122601251458
2121,0.8112781244591328
2122,0.8112781244591328
2123,0.8960382325345575
2124,0.8112781244591328
2125,0.8960382325345575
2126,0.8960382325345575
2127,0.954434002924965
2128,0.6962122601251458
2129,0.8112781244591328
2130,0.8112781244591328
2131,0.8960382325345575
2132,0.8112781244591328
2133,0.8960382325345575
2134,0.8960382325345575
2135,0.954434002924965
2136,0.8112781244591328
2137,0.8960382325345575
2138,0.8960382325345575
2139,0.954434002924965
2140,0.8960382325345575
2141,0.954434002924965
2142,0.954434002924965
2143,0.9886994082884974
2144,0.6962122601251458
2145,0.8112781244591328
2146,0.8112781244591328
2147,0.8960382325345575
2148,0.8112781244591328
2149,0.8960382325345575
2150,0.8960382325345575
2151,0.954434002924965
2152,0.8112781244591328
2153,0.8960382325345575
2154,0.8960382325345575
2155,0.954434002924965
2156,0.8960382325345575
2157,0.954434002924965
2158,0.954434002924965
2159,0.9886994082884974
2160,0.8112781244591328
2161,0.8960382325345575
2162,0.8960382325345575
2163,0.954434002924965
2164,0.8960382325345575
2165,0.954434002924965
2166,0.954434002924965
2167,0.9886994082884974
2168,0.8960382325345575
2169,0.954434002924965
2170,0.954434002924965
2171,0.9886994082884974
2172,0.954434002924965
2173,0.9886994082884974
2174,0.9886994082884974
2175,1.0
2176,0.5435644431995964
2177,0.6962122601251458
2178,0.6962122601251458
2179,0.8112781244591328
2180,0.6962122601251458
2181,0.8112781244591328
2182,0.8112781244591328
2183,0.8960382325345575
2184,0.6962122601251458
2185,0.8112781244591328
2186,0.8112781244591328
2187,0.8960382325345575
2188,0.8112781244591328
2189,0.8960382325345575
2190,0.8960382325345575
2191,0.954434002924965
2192,0.6962122601251458
2193,0.8112781244591328
2194,0.8112781244591328
2195,0.8960382325345575
2196,0.8112781244591328
2197,0.8960382325345575
2198,0.8960382325345575
2199,0.954434002924965
2200,0.8112781244591328
2201,0.8960382325345575
2202,0.8960382325345575
2203,0.954434002924965
2204,0.8960382325345575
2205,0.954434002924965
2206,0.954434002924965
2207,0.9886994082884974
2208,0.6962122601251458
2209,0.8112781244591328
2210,0.8112781244591328
2211,0.8960382325345575
2212,0.8112781244591328
2213,0.8960382325345575
2214,0.8960382325345575
2215,0.954434002924965
2216,0.8112781244591328
2217,0.8960382325345575
2218,0.8960382325345575
2219,0.954434002924965
2220,0.8960382325345575
2221,0.954434002924965
2222,0.954434002924965
2223,0.9886994082884974
2224,0.8112781244591328
2225,0.8960382325345575
2226,0.8960382325345575
2227,0.954434002924965
2228,0.8960382325345575
2229,0.954434002924965
2230,0.954434002924965
2231,0.9886994082884974
2232,0.8960382325345575
2233,0.954434002924965
2234,0.954434002924965
2235,0.9886994082884974
2236,0.954434002924965
2237,0.9886994082884974
2238,0.9886994082884974
2239,1.0
2240,0.6962122601251458
2241,0.8112781244591328
2242,0.8112781244591328
2243,0.8960382325345575
2244,0.8112781244591328
2245,0.8960382325345575
2246,0.8960382325345575
2247,0.954434002924965
2248,0.8112781244591328
2249,0.8960382325345575
2250,0.8960382325345575
2251,0.954434002924965
2252,0.8960382325345575
2253,0.954434002924965
2254,0.954434002924965
2255,0.9886994082884974
2256,0.8112781244591328
2257,0.8960382325345575
2258,0.8960382325345575
2259,0.954434002924965
2260,0.8960382325345575
2261,0.954434002924965
2262,0.954434002924965
2263,0.9886994082884974
2264,0.8960382325345575
2265,0.954434002924965
2266,0.954434002924965
2267,0.9886994082884974
2268,0.954434002924965
2269,0.9886994082884974
2270,0.9886994082884974
2271,1.0
2272,0.8112781244591328
2273,0.8960382325345575
2274,0.8960382325345575
2275,0.954434002924965
2276,0.8960382325345575
2277,0.954434002924965
2278,0.954434002924965
2279,0.9886994082884974
2280,0.8960382325345575
2281,0.954434002924965
2282,0.954434002924965
2283,0.9886994082884974
2284,0.954434002924965
2285,0.9886994082884974
2286,0.9886994082884974
2287,1.0
2288,0.8960382325345575
2289,0.954434002924965
2290,0.954434002924965
2291,0.9886994082884974
2292,0.954434002924965
2293,0.9886994082884974
2294,0.9886994082884974
2295,1.0
2296,0.954434002924965
2297,0.9886994082884974
2298,0.9886994082884974
2299,1.0
2300,0.9886994082884974
2301,1.0
2302,1.0
2303,0.9886994082884974
2304,0.5435644431995964
2305,0.6962122601251458
2306,0.6962122601251458
2307,0.8112781244591328
2308,0.6962122601251458
2309,0.8112781244591328
2310,0.8112781244591328
2311,0.8960382325345575
2312,0.6962122601251458
2313,0.8112781244591328
2314,0.8112781244591328
2315,0.8960382325345575
2316,0.8112781244591328
2317,0.8960382325345575
2318,0.8960382325345575
2319,0.954434002924965
2320,0.6962122601251458
2321,0.8112781244591328
2322,0.8112781244591328
2323,0.8960382325345575
2324,0.8112781244591328
2325,0.8960382325345575
2326,0.8960382325345575
2327,0.954434002924965
2328,0.8112781244591328
2329,0.8960382325345575
2330,0.8960382325345575
2331,0.954434002924965
2332,0.8960382325345575
2333,0.954434002924965
2334,0.954434002924965
2335,0.9886994082884974
2336,0.6962122601251458
2337,0.8112781244591328
2338,0.8112781244591328
2339,0.8960382325345575
2340,0.8112781244591328
2341,0.8960382325345575
2342,0.8960382325345575
2343,0.954434002924965
2344,0.8112781244591328
2345,0.8960382325345575
2346,0.8960382325345575
2347,0.954434002924965
2348,0.8960382325345575
2349,0.954434002924965
2350,0.954434002924965
2351,0.9886994082884974
2352,0.8112781244591328
2353,0.8960382325345575
2354,0.8960382325345575
2355,0.954434002924965
2356,0.8960382325345575
2357,0.954434002924965
2358,0.954434002924965
2359,0.9886994082884974
2360,0.8960382325345575
2361,0.954434002924965
2362,0.954434002924965
2363,0.9886994082884974
2364,0.954434002924965
2365,0.9886994082884974
2366,0.9886994082884974
2367,1.0
2368,0.6962122601251458
2369,0.8112781244591328
2370,0.8112781244591328
2371,0.8960382325345575
2372,0.8112781244591328
2373,0.8960382325345575
2374,0.8960382325345575
